,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs,best_baller_1,best_baller_1_wick,best_baller_2,best_baller_2_wick
486, Potchefstroom,League-Match,KENYA,SA,140.0,0.0,142.0,0.0,Lance Klusener,2003,SA,played,SA,,0,,0,,0,,0
487, Pietermaritzburg,League-Match,IND,NAM,311.0,2.0,130.0,0.0,Sachin Tendulkar,2003,SA,played,IND,,0,,0,,0,,0
488, East London,League-Match,SL,ZIM,256.0,5.0,182.0,0.0,Marvan Atapattu,2003,SA,played,SL,,0,,0,,0,,0
490, Gqeberha,League-Match,ENG,AUS,204.0,8.0,208.0,8.0,Andy Bichel,2003,SA,played,AUS,,0,,0,,0,,0
491, Bulawayo,League-Match,ZIM,NED,301.0,8.0,202.0,9.0,Heath Streak,2003,SA,played,ZIM,,0,,0,,0,,0
492, Johannesburg,League-Match,KENYA,BAN,217.0,7.0,185.0,0.0,Maurice Odumbe,2003,SA,played,KENYA,,0,,0,,0,,0
493, Centurion,League-Match,CAN,WI,202.0,0.0,206.0,3.0,John Davison,2003,SA,played,WI,,0,,0,,0,,0
494, Bloemfontein,League-Match,SL,NZ,272.0,7.0,225.0,0.0,Sanath Jayasuriya,2003,SA,played,SL,,0,,0,,0,,0
495, Johannesburg,League-Match,AUS,PAK,310.0,8.0,228.0,0.0,Andrew Symonds,2003,SA,played,AUS,,0,,0,,0,,0
496, Bloemfontein,League-Match,ZIM,NZ,252.0,7.0,253.0,4.0,Nathan Astle,2003,SA,played,NZ,,0,,0,,0,,0
497, Paarl,League-Match,CAN,SL,36.0,0.0,37.0,1.0,Prabath Nissanka,2003,SA,played,SL,,0,,0,,0,,0
498, Kimberley,League-Match,WI,KENYA,246.0,7.0,104.0,0.0,Vasbert Drakes,2003,SA,played,WI,,0,,0,,0,,0
499, Tunbridge Wells,League-Match,IND,ZIM,266.0,8.0,235.0,0.0,Kapil Dev,1983,ENG,played,IND,,0,,0,,0,,0
500, Nottingham,League-Match,ZIM,AUS,239.0,6.0,226.0,7.0,Duncan Fletcher,1983,ENG,played,ZIM,,0,,0,,0,,0
501, Birmingham,League-Match,ZIM,WI,171.0,0.0,172.0,0.0,Faoud Bacchus,1983,ENG,played,WI,,0,,0,,0,,0
502, Chelmsford,League-Match,IND,AUS,247.0,0.0,129.0,0.0,Roger Binny,1983,ENG,played,IND,,0,,0,,0,,0
503, Bristol,League-Match,SL,NZ,206.0,0.0,209.0,5.0,Richard Hadlee,1983,ENG,played,NZ,,0,,0,,0,,0
504, Worcester,League-Match,ZIM,WI,217.0,7.0,218.0,2.0,Gordon Greenidge,1983,ENG,played,WI,,0,,0,,0,,0
505, The Oval,League-Match,ENG,NZ,322.0,6.0,216.0,0.0,Allan Lamb,1983,ENG,played,ENG,,0,,0,,0,,0
506, Leicester,League-Match,ZIM,IND,155.0,0.0,157.0,5.0,Madan Lal,1983,ENG,played,IND,,0,,0,,0,,0
507, Taunton,League-Match,ENG,SL,333.0,9.0,286.0,0.0,David Gower,1983,ENG,played,ENG,,0,,0,,0,,0
508, Derby,League-Match,NZ,SL,181.0,0.0,184.0,7.0,Ashantha de Mel,1983,ENG,played,SL,,0,,0,,0,,0
509, Manchester,Semi-Final,ENG,IND,213.0,0.0,217.0,4.0,Mohinder Amarnath,1983,ENG,played,IND,,0,,0,,0,,0
510, Southampton,League-Match,AUS,ZIM,272.0,7.0,240.0,0.0,Dave Houghton,1983,ENG,played,AUS,,0,,0,,0,,0
511, Lord's,League-Match,PAK,ENG,193.0,8.0,199.0,2.0,Zaheer Abbas,1983,ENG,played,ENG,,0,,0,,0,,0
512, Taunton,League-Match,ENG,SL,333.0,9.0,286.0,0.0,David Gower,1983,ENG,played,ENG,,0,,0,,0,,0
513, Birmingham,League-Match,ENG,NZ,234.0,0.0,238.0,8.0,Jeremy Coney,1983,ENG,played,NZ,,0,,0,,0,,0
514, The Oval,Semi-Final,PAK,WI,184.0,8.0,188.0,2.0,Viv Richards,1983,ENG,played,WI,,0,,0,,0,,0
515, Swansea,League-Match,PAK,SL,338.0,5.0,288.0,9.0,Mohsin Khan,1983,ENG,played,PAK,,0,,0,,0,,0
516, Nottingham,League-Match,PAK,NZ,261.0,3.0,250.0,0.0,Imran Khan,1983,ENG,played,PAK,,0,,0,,0,,0
517, Leeds,League-Match,WI,AUS,252.0,9.0,151.0,0.0,Winston Davis,1983,ENG,played,WI,,0,,0,,0,,0
518, The Oval,League-Match,WI,IND,282.0,9.0,216.0,0.0,Viv Richards,1983,ENG,played,WI,,0,,0,,0,,0
519, Nottingham,League-Match,AUS,IND,320.0,9.0,158.0,0.0,Trevor Chappell,1983,ENG,played,AUS,,0,,0,,0,,0
520, Lord's,League-Match,AUS,WI,273.0,6.0,276.0,3.0,Viv Richards,1983,ENG,played,WI,,0,,0,,0,,0
521, Manchester,League-Match,IND,WI,262.0,8.0,228.0,0.0,Yashpal Sharma,1983,ENG,played,IND,,0,,0,,0,,0
522, Leeds,League-Match,SL,ENG,136.0,0.0,137.0,1.0,Bob Willis,1983,ENG,played,ENG,,0,,0,,0,,0
523, Birmingham,League-Match,NZ,PAK,238.0,9.0,186.0,0.0,Abdul Qadir,1983,ENG,played,NZ,,0,,0,,0,,0
524, Bristol,League-Match,SL,NZ,206.0,0.0,209.0,5.0,Richard Hadlee,1983,ENG,played,NZ,,0,,0,,0,,0
525, Manchester,League-Match,PAK,ENG,232.0,8.0,233.0,3.0,Graeme Fowler,1983,ENG,played,ENG,,0,,0,,0,,0
526, Lord's,Final,IND,WI,183.0,0.0,140.0,0.0,Mohinder Amarnath,1983,ENG,played,IND,,0,,0,,0,,0
527, Leeds,League-Match,PAK,SL,235.0,7.0,224.0,0.0,Abdul Qadir,1983,ENG,played,PAK,,0,,0,,0,,0
